국내순위,세계순위,채널이름,구독자수 (만명),총조회수 (억회),동영상수,구독자수,총조회수,채널설명
11,706,우주하마,217.0,21.2,3254,2170000,2115066927,우주하마 게임방송 :ㅕ
12,816,말왕TV,179.0,11.2,1586,1790000,1116536935,즐겁게 운동하는 고품격 운동방송 ragoona88@gmail.com
13,830,T1,173.0,7.0,3411,1730000,699061366,#TogetherAs1  To inspire the best game in you.
14,837,LCK,171.0,25.9,12877,1710000,2594044952,"리그 오브 레전드 챔피언스 코리아 (LCK) 공식 유튜브 채널입니다.   . . [안내 말씀]   라이엇 게임즈가 운영하는 리그오브레전드 챔피언스 코리아 (이하 ""LCK"") 와 모든 국제 대회 관련된 영상(과거 영상 포함)은 라이엇 게임즈의 소중한 자산입니다.   위에 언급된 대회의 중계 방송 영상 및 LCK 유튜브 채널의 영상을 무단으로 복제, 도용하거나 상업적으로 이용하는 행위는 저작권 관련 법규에 의거 처벌될 수 있음을 안내드립니다. (2차 편집도 금지)  더불어 저작권 침해 사례로 인해 개별 유튜브에서 받는 어떤 종류의 손해나 벌칙에 대해서도 라이엇 게임즈와 LCK는 어떠한 경우에도 배상해드리거나 지원해드리지 않으니, 이 점 참고하시기 바랍니다.   감사합니다.   ______  ■ LIVE & LI"
15,909,군림보,152.0,51.5,7448,1520000,5147499072,안녕하세요 군림보 입니다  생방송 : naver.me/G5JOe5c8 e-mail : grb@sandbox.co.kr Instagram : rnsflaqh_
16,936,테스터훈 TesterHoon,144.0,20.1,4946,1440000,2014903656,[문의는 이메일로 부탁드립니다.] 📩 이메일 : tester_hoon@naver.com
17,953,SUPER SOUND Bugs!,141.0,14.4,5448,1410000,1444106921,"나를 위한 플리, 벅스   벅스 공식 유튜브 채널  Bugs official Youtube channel"
18,1004,NCT WISH,130.0,8.5,1289,1300000,847707417,NCT WISH 【Ode to Love - The 1st Album】 ➫ 2026.04.20 6PM (KST)  WISH for Our WISH
19,1051,괴물쥐 유튜브,121.0,17.6,2122,1210000,1760140176,비즈니스 문의 - charon@gysent.com
20,1073,백앤아,116.0,10.2,1805,1160000,1022499604,"멥버십 가입! 비엔나대원이 되는 방법!👇 https://www.youtube.com/channel/UCVwkFKZl7v3V02JR8gLlUyw/join 🧡게임과 상황극을 하는 백앤아 채널🧡  🌭구독자 애칭: 비엔나🌭 🧡팬선물 보내는 주소🧡 서울시 용산구 서빙고로 17 센트럴파크타워, 29층 샌드박스 “백앤아-남매튜브” 앞 (음식은 보내시면 안됩니다!)"
21,1121,수탉,108.0,7.4,1977,1080000,735248326,하고 싶은 게임만 합니다  [비즈니스 문의 : contact@sandbox.co.kr]
22,1124,텔론,107.0,14.4,6042,1070000,1444155973,게임 좋아해요 :)  비즈니스 문의 : xordn123456@naver.com
23,1178,[ALTUBE] 김성현TV,99.9,20.8,6447,999000,2076864175,"스타크래프트 알파고테란 김성현의 유튜브채널입니다 많이사랑해주세요:D  생방송 진행시간 : 수, 목, 토, 일 오후 7시  매일 오전 11시30분 , 오후6시30분 업로드  문의 : rlatjdgus228@nate.com"
24,1179,킴성태TV,99.7,10.7,2609,997000,1070049791,스트리머 킴성태의 유튜브 채널입니다! 구독과 좋아요 부탁 드립니다! 비즈니스 문의 : contact@sandbox.co.kr
25,1200,이상호,96.8,7.5,2531,968000,751571208,"피파온라인4 영상 혹은 리그오브레전드 영상 혹은 시연이와 커플 영상이 가득한 이상호 유튜브 채널입니다!  구독, 좋아요 한 번씩 감사합니다!"
26,1253,멜로우TV,89.4,5.6,658,894000,556432004,💫스타! 과학 기자단 2권!!🪐 출간!!  광고 및 비지니스 메일 - mellowdiary@naver.com IP 활용 굿즈 라이센스 문의 - contact@playda.co.kr
27,1256,두치와뿌꾸,88.7,23.9,19760,887000,2388008906,광고 관련 문의 : ate8282@naver.com 입니다! 플러스친구 두치와뿌꾸 검색하셔도 진행 가능합니다!
28,1276,머독,86.4,11.6,12645,864000,1162276251,흔들어댄 콜라마냥 포텐터지는 방송!   머독방송 유튜브 채널입니다  다소 높은수위의 드립과 욕설을 사용하니 어린이들은 절대 따라하지마세요
29,1301,주키니TV,83.5,8.8,1905,835000,882615580,반갑습니타노스
30,1347,PAKA,78.8,8.6,1111,788000,857565728,
31,1350,쉐어TV,78.5,7.5,2082,785000,754300897,어떤 게임이든 깨발랄하게 진행하는 쉐어입니다 ㅎ_ㅎ
32,1354,튜브김민교,78.2,7.7,2028,782000,771870211,* 광고 및 문의 : creators@iambrand.co.kr
33,1389,형독방송,75.1,10.7,3488,751000,1067020067,비즈니스 문의 : qkqh9947@naver.com
34,1398,강 지,74.2,8.8,2171,742000,884280807,강지 생방송은 치지직에서! : https://chzzk.naver.com/b5ed5db484d04faf4d150aedd362f34b
35,1416,저라뎃 JUSTLIKETHAT,72.1,9.7,4104,721000,972193042,"Welcome to KR Challenger Jungler Justlikethat’s official YouTube channel ! You can enjoy interesting and informative LOL vids and streaming  :D If you want to reach high ELo, subscribe to my channel !  ( highly recommended to Junglers )  각종 광고&협찬문의 : starfish@starfishentertainment.co.kr"
36,1417,푸린,72.0,6.9,2959,720000,690992110,"세상의 모든 게임을 공략해주는 남자 푸린입니다.  ✅업로드 날짜 ✅ 월, 화 ,수 ,목, 토, 일 (밤 10시) / 금 (휴방)  ✅생방송 주소✅ 치지직 : https://chzzk.naver.com/75bd327f6ba6f57106c79fe3f2c3d19f  ✅푸린 다시보기 채널✅ https://www.youtube.com/channel/UCUDmolBJYp-A9Vso1-OjEHA?view_as=subscriber  ✅푸린한테 선물하기✅ https://fancim.me/celeb/celebDonation.aspx?cu_id=f_7lg6694586oany05  ✅인스타 주소✅ https://www.instagram.com/purin_26/  ✅개인메일✅ kmb1000@naver.com  ✅광고문의✅ puri"
37,1424,SUNBA선바,71.2,15.5,4221,712000,1551031798,안녕! 내이름은 선바!
38,1425,민또 경또,71.1,10.8,1992,711000,1080869720,❤민또 경또 채널에 오신 걸 환영합니다❤  ▶️즐겨하는 게임 로블록스  민또 : 상어🦈 경또 : 공주👸  민또와 경또의 재밌는 또또커플 이야기  구독자 애칭 : 또린이
39,1433,JUNE,70.4,11.0,2192,704000,1104134060,안녕하세요 게임 크리에이터 JUNE입니다 문의사항은 아래 비즈니스 문의 메일로 부탁드립니다~! 비즈니스 메일 : boyish.mind@gmail.com
40,1448,프레이 TV,68.3,8.5,3069,683000,852295932,재밌는 롤 방송 프레이 유튜브입니다! 방송시간은.. 랜덤입니다.  SOOP : sooplive.co.kr/pig2704  유튜브 영상은 공유하기로 퍼가셔도 됩니다 재밌게 보고 많이 퍼가주세요!  좋아요도 부탁드립니다!
41,1449,옥냥이 RoofTopCAT,68.2,8.3,4488,682000,831126133,* 광고 문의 : rooftopcat@sandboxnetwork.net * 생방송 : https://chzzk.me/BQvok * 방송국 주소 : https://cafe.naver.com/dhrsiddl  치지직에서 평일 아침 9시쯤 생방송! (휴방일정은 방송국 참고😄) 언제나 과분한 사랑 감사드립니다 d^_^b
42,1477,CUTIE STREET,65.8,14.5,2974,658000,1450679361,原宿から世界へ。   ASOBISYSTEMのアイドルプロジェクト「KAWAII LAB.」より2024年8月にデビュー。    コンセプトは《KAWAII MAKER》   ファンネームは《きゅーてすと》  💛古澤里紗 ❤️佐野愛花 💚板倉可奈 💙増田彩乃  🧡川本笑瑠 🩵梅田みゆ 💜真鍋凪咲 🩷桜庭遥花  #CUTIESTREET #きゅーすと
43,1497,전쓰트의 게임 채널 Junsst,64.3,10.1,5030,643000,1012575143,그냥 하고 싶은 거 하는 채널입니다 문의할 게 있으시다면 이메일로 보내주세요 감사합니다 junsst412@gmail.com
44,1512,빅헤드,63.2,5.9,4148,632000,589335124,생방송 치지직에서 진행하고 있습니다.
45,1513,홀릿 Youtube Holit,63.2,5.0,3083,632000,503291792,"홀하~ 모바일 게임 꿀팁 전문 크리에이터 홀릿입니다! 여러가지 모바일 게임 꿀팁 컨텐츠와 꿀잼 예능 컨텐츠를 제작하고 있습니다.  재미있게 시청해주시면 감사하겠습니다^^  문의 : holit@sandbox.co.kr  @영상 제작 / 편집 : 홀릿 & '망고펭귄 PD님' &  '건호' 편집자님 @Art Design by @Myungji.Ko @홀릿 캐릭터 제작: 아이사유  @채널 아트 제작: 퓨어 디자인  @영상 인트로, 아웃트로 제작: 강렬한파인애플   홀릿 유튜브 많은 사랑 부탁드립니다^-^"
46,1521,인피쉰,62.9,9.6,6646,629000,956854094,"스타크래프트 빠른무한 방송하는 인피쉰 입니다 🙂  YOUTUBE & 아프리카 동시 생방송 중이며,  생방송 시간은: 오후 20:00 ~ 새벽 1:00 입니다.  휴방일: 화요일 & 토요일 입니다.  ✔️ 광고 문의: infishinmanager@gmail.com  ✔️인피쉰 인스타: infishin_yjh"
47,1528,싸모스,62.2,4.5,548,622000,446284262,"재미있는 로블록스 챌린지, 연출, 상황극 하는 사람입니다!  개인문의:eoxhlska357@gmail.com  비즈니스 문의:ad@lolq.co.kr"
48,1550,승상싱,60.2,3.3,232,602000,328663798,"B급 감성 한국인이 좋아하는 속도 도라이,미친놈,븅신이라 욕 해도 됨. 대신 뒤에 ㅋㅋ가 안 붙으면 상처받음 형이라고 불러주면 좋아함 건강보다 영상 자막없으면 못 알아듣는 채널 오타빼면 시체"
49,1575,양아지,58.6,5.9,2891,586000,587367258,아지입니다 :3  치지직 : https://chzzk.me/NSPj
50,1590,글자네,57.8,6.7,3126,578000,667716297,"메이플스토리, 브이로그, 먹방 등등 다양한 콘텐츠를 진행합니다.  KMS 크로아, 루나서버, KMS 최초 Lv.250 '베베'  문의 이메일   세글자 : tprmfwkek@naver.com 총괄PD : pua0606@naver.com  KMS First max level(Lv.250) user 3GJ's YouTube:) 세글자의 모든것 : https://linktr.ee/3gj_sh"
51,1596,팡이요,57.5,7.2,5634,575000,718247065,"안녕하세요 팡이요 입니다. 아프리카TV에서 메이플스토리를 메인컨텐츠로 생방송을 하고 있습니다. 매일 밤 8시~10시에 사이에 만나요~^^  생방송 월,금은 휴방입니다. 매주 5회 방송 진행 하고 있습니다. 휴방날에도 키는 경우도 있습니다!  팬 선물 보내는 곳 서울특별시 성동구 성수이로20길16,  JK타워 2층 트레져헌터 팡이요 앞 물어보시는 분들이 많으셔서 적어 놓습니닷!!!   아프리카TV방송국주소 : http://www.afreeca.com/sccha21 팡이요 팬카페주소 : http://cafe.naver.com/pang2yo 팡이요 페이스북주소 : http://www.facebook.com/pang2yo 팡이요 인스타그램 : http://www.instagram.com/pang2yo"
52,1619,로빈,55.4,7.1,2483,554000,708614971,"주로 #마인크래프트 #마크 등 을 플레이하고 영상으로 담아 여러분께 전하는 유튜브 크리에이터 ""로빈"" 입니다.  컨텐츠 요청 / 기타 문의는 이메일 [ dydgh012@naver.com ] 로 해주세요!"
53,1631,고세구 GOSEGU,54.7,4.0,1006,547000,402179717,"가자, 고세구! 지금, 망상을 현실로! ^ㅁ^   SOOP 생방송보기: https://ch.sooplive.co.kr/gosegu2  컨텐츠/VR/노가리  -캐릭터 출처 作者名：「こまど」 Twitter:@komado_booth (캐릭터 제작자님의 허가를 얻어 활동하고 있습니다)"
54,1638,무비띵크_Movie Think,54.1,3.8,1150,541000,376321850,📌 비즈니스 문의 hongzuna@naver.com  🧙‍♂ 무비띵크 멤버십 되기 https://www.youtube.com/channel/UCKBzr20577Xcn0LJoRVES_A/join  ⚡ 무비띵크 인스타그램 https://www.instagram.com/moviethink
55,1645,탬탬버린,53.7,8.1,3406,537000,813022088,탬탬버린^v^~   ※ 광고문의: biz@pixelnetwork.co.kr  ▶탬탬버린의 생방송 채널 (Live Broadcasting!) - https://chzzk.naver.com/a7e175625fdea5a7d98428302b7aa57f  ▶탬탬버린의 풀 영상 다시보기 채널 - https://www.youtube.com/@%ED%83%AC%ED%83%AC%EB%B2%84%EB%A6%B0%EB%8B%A4%EC%8B%9C%EB%B3%B4%EA%B8%B0
56,1656,청원이,53.0,4.0,862,530000,402046248,실력은 청정수급 게임에 대한 애착은 고인물급인 청원이입니다 ㅎㅎ 게임을 안하는 사람도 손가락이 근질거리는 영상을 만들겠습니다!  너 내 동료가 되라!   비즈니스 문의: makelchs@sandboxnetwork.net
57,1658,Urban Paradise,52.9,4.1,1540,529000,409890132,Welcome to Paradise 🌴   Your Home For The Best Urban Music With Lyrics! All videos will be a lyric video with closed captions (CC) and have lyrics in the description.   For all inquires see email below.
58,1674,N.Flying (엔플라잉),52.3,5.6,812,523000,561943608,FNC Entertainment BAND 'N.Flying' OFFICIAL Youtube Channel
59,1676,풍월량,52.3,7.6,13907,523000,759068226,즐거운 게임방송 풍월량입니다!  📌 치지직 생방송 매일 저녁 8시  유튜브 영상은 공유하기로 퍼가셔도 됩니다! 많이 퍼가주시고 좋아요! 부탁드려엽!  [ 건의 메일 ] 생방송 건의 👉 windmoon1125@naver.com 유튜브 건의 👉 poongtube1125@sandbox.co.kr  🚨 PLEASE BEWARE OF PHISHING ATTEMPTS! 🚨 Under any circumstances I do not request game codes or sponsored goods without proper business contact through my associated agency. - MORE INFO ▶ https://www.youtube.com/post/UgyZrdTss4mcNGic7Md4
60,1730,김된모,49.3,4.4,1527,493000,442831455,"- 비즈니스 문의: doenmo@onsidecompany.co.kr - 크리에이터 관련 문의: manager@onsidecompany.co.kr - 팬 선물: 서울 중구 청계천로 40, 1315호 김된모 (우: 04521, 주소에 크리에이터 명 포함) * 우편 도착 확인 여부는 모두 안내드리기 어려운 점 양해 부탁드리며, 확인을 희망하시는 경우 http://pf.kakao.com/_SxlyCn 로 문의 부탁드립니다."
61,1732,Disney Plus Korea 디즈니 플러스 코리아,49.2,6.6,6384,492000,661774566,지금 가장 뜨거운 라인업 이 모든 이야기가 여기에
62,1782,발스타홍구,45.0,5.7,1768,450000,572097633,"안녕하세요, 여러분! 홍구의 공식 유튜브 게임채널입니다  스타 명경기, 엽기 전략 그리고 다양한 종합 게임으로 여러분을 찾아뵙겠습니다 구독과 많은 사랑 부탁드립니다!! :D  각종 문의는? dpfgc3@nate.com"
63,1800,중년게이머 김실장,43.8,2.1,796,438000,214859827,게임업계에 오랜 기간 종사하며 인사이트를 쌓아온 김실장이 남다른 시각으로 게임의 명과 암을 분석합니다.
64,1802,왈도쿤,43.6,6.3,2963,436000,627155162,대한민국 평균 오타쿠 머장
65,1806,버니버니,43.5,3.9,1882,435000,387510594,"- 비즈니스 문의: biz@onsidecompany.co.kr - 크리에이터 관련 문의: manager@onsidecompany.co.kr - 팬 선물: 서울 중구 청계천로 40, 1315호 버니버니 (우: 04521, 주소에 크리에이터 명 포함) * 우편 도착 확인 여부는 모두 안내드리기 어려운 점 양해 부탁드리며, 확인을 희망하시는 경우 http://pf.kakao.com/_SxlyCn 로 문의 부탁드립니다."
66,1839,코뚱잉,41.5,2.8,1499,415000,275756356,Zziks 드레이븐 장인 피지컬 챌린저 3대 675  【삼대오백 코뚱잉】할인코드: ko15  【WAYDN 코뚱잉】할인코드: KO1
67,1845,팔차선 [8LJAYWALKING],41.2,4.9,2475,412000,494481139,2021 TFT 운명 월드 챔피언 팔차선 유튜브입니다  Email : 8ljaywalking@gmail.com
68,1863,잡상싱,40.3,4.4,2230,403000,439114396,승상싱 잡동사니 유튜브 부채널입니ㄷ ㅏㅡㅑ mg.winupsing@gmail.com
69,1869,스트리머 사또 live-streamer satto,39.8,1.0,1195,398000,98727117,게임방송과 비트코인 방송을 하고있는 스트리머 입니다 U-8650970
70,1894,Kanye West - Topic,38.7,37.0,540,387000,3704300963,
71,1910,만만,38.0,5.9,5473,380000,593613798,"언제나 어디서든 웃는날이길 빌겠습니다 늘 관심 가져주셔서 감사합니다   💘원정문의 : 카톡  sas2055  🔴투네이션후원: https://toon.at/donate/637211610723581124  팬클럽가입:(월3990원):https://www.youtube.com/channel/UCRY0vKmqFmQ4XCJomWMBf-w/join  💌광고문의 : sas2055@naver.com   🚨제 채널은 자유로운 소통과 건강한 의견 공유를 지향합니다.  다만, 서로에 대한 존중을 잃거나 채널 분위기와 맞지 않는 댓글은 별도의 경고 없이 관리자에 의해 삭제될 수 있습니다.  모두가 편안하게 즐길 수 있는 공간을 만들기 위한 조치이니, 여러분의 많은 이해와 협조 부탁드립니다.  브금은 BGM팩토리  https://"
72,1944,무릎의 철권TV TekkenKnee,36.1,3.7,3320,361000,373784978,철권 프로게이머 무릎의 SOOP 방송을 모아보는 유튜브 채널! SOOP 방송국 (https://ch.sooplive.co.kr/holyknee) Knee's Tekken Stream Upload  구독 부탁드립니다!!
73,1948,유봉훈,35.9,4.4,2112,359000,438156582,"안녕하세요! FC온라인 전 프로게이머 유정훈입니다!  찾아와 주셔서 감사하고 구독과 좋아요! 한 번씩 부탁드리겠습니다!  광고,제휴 문의: creators@iambrand.co.kr  생방송 안내 : 숲 접속 후 피파 or 봉훈 검색하셔서 들어오시면 됩니다!  방송 시간 13:00~  다들 감사합니다!"
74,1968,카운터,34.8,5.5,2197,348000,550553276,"업로드 일정  월, 화, 수, 금, 토 - 정상 업로드 목 - 휴일 or 운짧 일 - 휴일"
75,1988,클리드,34.0,2.2,643,340000,215752469,클리드 오피셜 유튜브 입니다   비즈니스 문의 xoals137@naver.com
76,2042,Fantasoner(판타소너),32.1,2.2,278,321000,220168091,"판타소너 채널에 오신 것을 환영합니다.  협업 문의:  ljcom7481@gmail.com  일상을 벗어나, 상상만으로도 가슴 뛰는 모험을 떠날 수 있는 곳입니다. 판타소너(Fantasoner) =  Fantasy + Pioneer  All content is produced using A.I."
77,2057,YouTube지누,31.6,4.3,3517,316000,434944701,생방송 치지직으로 옮겼습니다
78,2068,수찬 Suchan,31.2,2.8,2231,312000,280148059,안녕하세요 리그오브레전드 화려한 솔로킬 탑라인을 맡고있는 수찬입니다. SOOP 라이브 방송국 https://ch.sooplive.co.kr/cbn270 인스타 suchan.jeon 각종 광고&문의 : starfish@starfishentertainment.co.kr
79,2082,행돌,30.7,2.8,1622,307000,282997663,레디언트 연막싸개   광고 문의 biz@pixelnetwork.co.kr 개인 문의 hangdol99@naver.com
80,2087,짬타수아,30.5,2.7,3169,305000,270220599,짬타수아 공식 유튜브 채널입니다.  격투게임을 본진으로 삼고있는 이세상에서 거절당한 저세상 방송인! 숲에서 짬타수아를 검색해주세요! 저녁 7시에 생방송합니다. ^^ https://ch.sooplive.co.kr/zzamta0310
81,2128,샤코타임 Shacotime,29.0,2.8,1181,290000,278512389,SOOP 방송국 : https://ch.sooplive.co.kr/asa0921 트위치TV 방송국 : https://www.twitch.tv/shacotime2 CHZZK 방송국 : https://chzzk.naver.com/c50b1e84c9e889e827ff1bb11516b6c4 다시보기 채널 : https://www.youtube.com/@shacotime6629
82,2148,동희,28.2,3.2,5913,282000,321903862,어서오시요~  이메일         :      hama3750@naver.com
83,2163,레고77,27.8,2.1,1517,278000,211839849,"메이플랜드 / 리그 오브 레전드 (LOL) 챌린저 방송인 보스 클리어, 강화 방송 / 럼블 & 신지드 장인 레고77 입니다.  * 문의 eugenebaduk@naver.com"
84,2164,영미터,27.8,4.1,6212,278000,412684033,FC 모바일 (피파 모바일) 플레이하는 영미터입니다!  ● 광고 문의 : biz@stealtheshow.studio  NBMD9B@AICOMPANY
85,2176,본이,27.2,2.7,2417,272000,266247070,Instagram : @Voo0ooN   브롤스타즈  국내최초 30000🏆(29브롤러) 40000🏆(38브롤러) 50000🏆(44브롤러) 올 35랭크  세계랭킹  1위 3회🥇 (29019점 ??브롤러) (30003점 29브롤러) (34202점 33브롤러)  2위 2회🥈 (42375점 38브롤러) (51770점 44브롤러)  사용기기   아이패드 프로 6세대 12.9인치 512기가  비즈니스 메일 2562von@gmail.com   브롤관련 제보는 팬카페로 부탁드립니다
86,2179,Untara,27.1,1.5,1048,271000,148788858,"운타라의 롤방송, 재밌는이야기들"
87,2196,메이플스토리맑음,26.4,2.4,7973,264000,239946766,가장 빠르게 메이플 소식 / 정보를 전달해드립니다!   메이플스토리 - Lv.285 제논 오버워치 - 그랜드 마스터 4180++ 카트라이더 - 타임어택 랭커   기타 문의 : kai1127@naver.com
88,2198,똘끼100%,26.4,2.4,4258,264000,236897917,똘끼의 게임 채널입니다
89,2205,피닉스박,26.0,2.1,1790,260000,207643653,
90,2208,스맵,25.8,1.0,808,258000,104319601,롤 전 프로게이머 스맵 송경호입니다!
91,2226,김성룡 바둑랩,25.1,5.6,10971,251000,559202098,"바둑을 재미있게 볼 수 있으려면 어떻게 해야 할까를 항상 고민하며 방송해설을 시작한지도 이제 20년이 넘었습니다.  방송에서 보여 드릴 수 없는 썰을 유튜브에서 여러분과 함께 하려 합니다. 편파적인 느낌과 기존 방송과는 다른 느낌 때문에 불편하실 수도 있지만 바둑을 즐겁게 보는 것을 목표로 한다는 점을 알아주셨으면 합니다. 재미있는 방송은 김성룡 바둑랩, 바둑 실력을 늘리시려면 바둑랩강좌를 통해 얻어 가시길 바랍니다.  2018년 11월4일 유튜브를 시작. 12월29일 1만명,  2019년 3월15일 3만명, 6월4일 5만명, 8월 6일 6만명. 10월16일 7만명, 12월 6일 8만명, 2020년 4월22일 10만명, 2023년 5월7일 20만명이 되었습니다. 후원계좌: 174 910033 33307 하나"
92,2236,THIRD[롤 백과사전],24.7,4.5,1743,247000,445739022,"롤 패치내역과 롤 이스포츠를 빠르고 최고의 퀄리티로 전달해드립니다!  과거에는 챔피언 tmi로 시작했지만  최근에는 LOL ESPORTS 위주로 각종 패치와 이슈 영상 등을 다루고 있습니다.  마지막 목표는 롤 전문 채널이 되고 싶습니다.  그렇다면 GO! ------------------------------------------------------ 카론 크리에이티브 회사 이메일 주소 : charon@gysent.com (광고 문의도 이쪽으로 주시면 감사하겠습니다!) 개인 이메일 주소 :  shrck9189@naver.com ------------------------------------------------------ ※ 저는 라이엇 게임즈 공식 파트너 크리에이터로서,  LCK 관련 콘텐츠를 제작할"
93,2250,아오쿠모 린 AOKUMO RIN,24.0,1.3,347,240000,134265370,
94,2256,빅보스,23.9,1.3,3441,239000,129004107,
95,2270,신해조,23.5,2.0,1100,235000,198577989,신해조 유튜브 공식 채널입니다 시청해 주시는 여러분 언제나 감사드립니다!  치지직 - https://chzzk.naver.com/e818bad56360ea4fb791e4156b1f5dcd 아프리카TV - http://www.afreecatv.com/shinhaejo 트위치 - https://www.twitch.tv/shinhaejo
96,2278,살구 YouTube,23.0,3.0,3879,230000,300471691,안녕하세요. 데드바이데이라이트 전문 방송인 살구입니다.  네이버 치지직에서 매일 저녁 7시 ~ 8시에 생방송을 진행하고 있습니다  https://zrr.kr/tYbx
97,2283,이문주,22.9,1.3,2570,229000,134349381,"모든 방송은 컨셉, 설정, 재미로 봐주세요 감사합니다 #리니지m #로드나인"
98,2295,하네 HANE - 로블록스 게임채널,22.4,0.5,704,224000,46864152,안녕하세요 로블록스 유튜버 하네입니다!! 동영상도! 라이브도! 자주 진행합니다!!! 구독과 좋아요 알림설정 해주세요~!!!😁  비지니스 문의 : robloxhane0101@gmail.com
99,2306,AION2,22.0,0.7,118,220000,70517344,"두 개의 하늘, 하나의 영광 AION2 공식 채널입니다."
100,2312,캐인유튜브,21.9,2.7,2480,219000,272531999,"C1 TOP / 비주류챔 ,뉴메타를 주로합니다   비즈니스 문의 : sj009468@naver.com"
